Roll_No,ENG_I,M_I,MSC,ED,EC,CPC,EWIT_LAB,EC_LAB,CPC_LAB,SGPA
A0101,A+,B+,B,A+,A,B,O,A+,A+,7.88
A0102,B+,F,F,C,C,C,O,A+,A+,4.79
A0103,O,A+,A,B+,A+,A+,O,O,O,8.96
A0104,O,A+,O,B+,O,A+,O,O,O,9.33
A0105,A,A,B,O,B,F,O,A,O,7.08
A0106,O,O,A+,B+,A+,O,O,O,O,9.38
A0107,A+,O,A+,O,A+,A+,O,A+,O,9.46
A0108,A+,A+,O,A+,O,A+,O,O,O,9.5
A0109,A,O,A,O,A,A,A+,A,O,8.83
A0110,A+,O,O,O,O,O,O,O,O,9.92
A0111,O,O,A+,O,A,A+,O,O,O,9.5
A0112,B+,C,B,B,C,P,O,A+,O,6.46
A0113,O,O,O,O,O,O,O,O,O,10
A0114,A+,A,B+,B+,A+,A+,O,A+,O,8.5
A0115,A+,B+,B,C,B+,A,O,A+,B+,7.33
A0116,B+,F,B,P,F,F,A+,A+,B+,3.92
A0117,A,P,C,P,F,F,A,A,C,4.21
A0118,A,A+,A+,O,A,B+,O,O,A,8.75
A0119,A+,A+,A+,A,A,C,O,A+,A,8.25
A0120,A+,O,O,A+,O,A+,O,O,O,9.67
A0121,A+,O,O,O,A+,O,O,O,A+,9.71
A0122,P,F,F,F,F,F,B+,A,P,1.92
A0123,A+,A,A,B+,C,F,O,A,P,6.42
A0124,A+,O,A+,B+,O,A,O,O,O,9.17
A0125,A,F,F,F,F,F,O,A+,C,2.67
A0126,A,P,B+,F,C,F,A+,A+,B,4.83
A0127,B+,B,B,C,B,F,O,A+,B+,5.88
A0128,A+,O,A+,A,A+,B,O,O,A,8.75
A0129,A+,O,O,O,O,A+,O,O,O,9.79
A0130,A,F,C,C,C,F,O,A+,A,4.79
A0131,B+,F,F,C,P,F,A+,A+,B+,3.79
A0132,O,O,A,O,O,A+,O,O,O,9.63
A0133,B,F,P,F,C,F,A+,A,A+,3.79
A0134,A+,B,C,A+,A+,P,O,O,O,7.63
A0135,B+,P,P,F,C,F,O,A+,O,4.79
