Roll_No,ENG_II,M_II,EP,ES,DSC,EM,EP_LAB,DSC_LAB,ESCS_LAB,SGPA
A0101,B+,C,P,A+,C,P,B+,A+,O,6.33
A0102,B,F,F,B,F,P,A,A+,O,4
A0103,A+,A,A+,O,A,A,O,O,O,8.96
A0104,O,A,O,O,O,B,O,O,O,9.17
A0105,A,B,P,B+,B+,B,B+,A+,O,6.83
A0106,A+,A,A+,O,O,B+,A+,O,O,9
A0107,B+,O,A+,A+,O,A,A+,O,O,9.17
A0108,A+,A,A+,O,O,A+,O,O,O,9.33
A0109,A,A+,F,A+,O,A,A,O,A,7.71
A0110,A+,O,A+,O,O,O,O,O,O,9.79
A0111,A+,A,A,O,A,C,A+,O,O,8.38
A0112,A,F,B,A,F,P,A,A,O,5.08
A0113,A+,A+,A+,O,O,A+,O,O,O,9.5
A0114,A+,F,A,O,A+,P,O,O,O,7.13
A0115,A+,P,B,A,A,P,A,A+,A+,6.83
A0116,C,F,P,B+,F,F,C,A,A+,3.63
A0117,C,F,F,P,F,F,P,B,A+,2.5
A0118,A+,B,B+,A+,A,B,A+,O,O,7.92
A0119,A+,B+,B,A,C,F,A,A+,A+,6.46
A0120,O,A,O,A+,O,B,O,O,O,9.04
A0121,A+,O,A+,O,A+,A+,O,A+,O,9.46
A0122,F,F,F,F,F,F,P,C,B+,1.33
A0123,A+,F,B,B,F,F,A,A,O,4.42
A0124,A+,O,B,A+,A,A,A,A,O,8.46
A0125,B,F,P,A,F,F,P,A,A,3.67
A0126,B,F,F,P,F,F,P,A,B+,2.58
A0127,C,F,F,B,F,F,B,A+,A+,3.17
A0128,A+,A,A+,A+,B+,A,O,O,O,8.71
A0129,A+,A,O,A+,O,A+,O,O,O,9.33
A0130,B,F,F,F,B,F,B+,A+,A+,3.33
A0131,C,F,F,B,P,F,B+,A,A+,3.67
A0132,O,A+,A,O,A+,A+,O,O,O,9.33
A0133,P,F,F,P,F,F,B,C,O,2.58
A0134,A,F,B,A,P,B+,A+,A,O,6.04
A0135,C,F,P,C,F,F,A,A,O,3.71
A0136,O,O,A+,O,O,O,O,O,O,9.88
A0137,A+,P,C,B+,F,C,O,A+,O,5.96
A0138,O,O,A+,O,O,O,O,O,O,9.88
A0139,P,F,F,B,F,F,A,A,O,3.25
A0140,B+,F,F,A,C,P,O,A,O,5.04
A0141,C,F,F,B+,F,F,B+,B+,O,3.29
A0142,O,B+,B,A,B+,A,O,A+,O,8.04
A0143,A+,A+,A+,O,O,A,O,O,O,9.38
A0144,O,O,O,O,O,O,O,O,O,10
A0145,A+,P,P,A,A,B,A+,A,O,6.92
A0146,A+,F,P,A,F,F,A+,A,O,4.5
A0147,A,F,F,B+,F,F,A+,B+,O,3.71
A0148,A,F,A,A+,F,C,O,A,O,5.75
A0149,A+,A+,A,A,A+,A+,O,A+,O,8.92
A0150,A+,O,A+,A+,O,A+,O,O,O,9.54
A0151,A,B,P,B+,B+,F,A+,A,O,6.17
A0152,A+,A,A+,A,B+,A+,O,A,O,8.54
A0153,A,F,B+,B+,B+,F,B,A,O,5.29
A0154,A+,O,A,A+,O,A+,O,O,O,9.42
A0155,A+,A+,A+,O,O,A+,O,O,O,9.5
A0156,B,F,F,F,F,F,B,A,O,2.5
A0157,A+,A,A,A+,A+,A,O,A+,O,8.75
A0158,A,F,F,B+,F,F,B+,B+,O,3.54
A0159,A+,F,F,A,F,F,A,A,O,3.92
A0160,A+,F,B,A+,A,A,O,O,O,7.13
A0161,F,F,F,F,F,F,B+,A+,A,2
A0162,B,F,F,C,F,F,B,A,A+,3.04
A0163,P,F,F,P,F,F,A,A+,A,2.92
A0164,A,F,P,A,B,B+,O,A+,A+,6.13
A0165,A,F,F,C,F,F,A,O,A+,3.54
A0166,A+,A,A+,A,B+,A,A+,O,A+,8.42
A0167,A+,B,A,A+,B,A,O,O,O,8.13
A0168,A+,B,A+,A+,A+,A,O,O,O,8.63
A0169,A,C,B,A+,B+,B+,O,O,A+,7.54
A0170,O,O,A+,O,A,O,O,O,O,9.63
A0171,B+,F,F,P,F,F,C,A+,A+,3
A0172,B,P,F,B,F,F,A+,A+,A+,4.17
A0173,B,F,F,C,P,P,A+,O,A+,4.46
A0174,A+,A,B,A+,A,A,O,O,O,8.46
A0175,A+,F,B,A,C,A,O,O,O,6.63
A0176,B+,F,F,C,F,F,P,A+,A+,3.04
A0177,C,F,F,B,F,F,B+,A+,A+,3.25
A0178,A+,A,B+,A,A,A+,A+,O,A+,8.42
A0179,A+,A,A,A+,A,A+,O,O,O,8.83
A0180,A+,A,A+,B+,B+,A,A,O,A+,8.21
A0181,A+,F,B,A,A,F,O,O,O,6
A0182,O,B,B+,A+,B,O,A,O,O,8.17
A0183,A+,O,A+,O,A+,A+,O,O,O,9.54
A0184,A+,B+,B+,A,A+,C,A+,O,O,7.96
A0185,A,A,B,B+,F,A+,O,O,O,7.25
A0186,A+,B+,A+,B+,B,B+,O,O,O,8.04
A0187,A+,A+,O,O,O,O,O,O,O,9.75
A0188,A+,P,A,A+,B+,B,O,O,O,7.67
A0189,A+,P,B,A+,F,C,O,O,O,6.42
A0190,A+,B+,A,O,O,B+,O,O,O,8.79
A0191,A+,B+,B,A,A+,A+,A,A+,A+,8.08
A0192,A,O,A,A+,A+,O,A+,O,O,9.25
A0193,A+,B,B,A,B+,F,A+,A,A+,6.54
