Roll_No,SM_I,EG,FM,P_S,BMC,EEE,EG_LAB,SM_LAB,SGPA
A0101,B,A+,C,P,A+,A,B+,B+,6.75
A0102,F,C,P,F,C,B,A+,O,4.25
A0103,B,A+,B+,A+,A+,A+,O,O,8.33
A0104,B+,O,A+,A+,O,A+,O,O,9.08
A0105,P,B,C,B,B+,B,A+,O,6.21
A0106,A,O,A+,A,A+,O,O,O,9.13
A0107,A+,A,B,A+,A,A+,O,O,8.42
A0108,A,O,A+,A,O,A+,O,O,9.13
A0109,A+,B,C,A,B+,B+,A+,A+,7.33
A0110,O,O,O,A+,O,O,O,O,9.88
A0111,A,A,A,A,A,A,O,O,8.33
A0112,F,B,F,F,B+,B,O,O,4.04
A0113,O,O,O,O,O,A+,O,O,9.88
A0114,P,A,O,A,A,A,O,O,8
A0115,P,A+,B+,C,B+,A,O,A+,7.04
A0116,F,P,F,F,F,F,O,A,2
A0117,P,P,F,F,F,B,F,B+,2.5
A0118,A+,A+,A,F,B+,B+,O,O,7.38
A0119,A,A+,C,F,A,A,A+,O,6.88
A0120,A+,O,A+,O,O,A+,O,O,9.54
A0121,A+,A,A+,O,A+,A+,A+,O,9.08
A0123,F,P,C,F,P,B,A,A+,4
A0124,A,A+,A+,A,A,A,A+,A+,8.46
A0125,F,A,P,F,A,A,B,B+,4.75
A0126,F,F,F,F,F,F,F,F,0
A0127,F,F,P,F,P,B,B+,B+,3.08
A0128,A+,A,A+,A+,A+,A+,O,O,9.04
A0129,A+,A+,A+,B,A+,A,O,O,8.67
A0130,F,P,F,C,F,B,A+,O,3.46
A0131,F,C,F,P,B,C,A,B+,3.75
A0132,O,O,O,O,O,O,O,O,10
A0133,F,P,P,P,F,F,F,B+,2.25
A0134,P,A,B,C,B+,A,O,O,6.83
A0135,F,P,F,F,F,F,A+,B+,1.83
A0136,O,A+,O,O,O,O,O,O,9.88
A0137,F,B,B+,B+,A,A,O,O,6.46
A0138,O,O,O,O,O,O,O,O,10
A0139,F,P,F,F,F,F,B+,A+,1.83
A0140,F,B+,F,P,B+,B+,O,O,4.79
A0141,F,P,F,F,P,B,A,B+,3
A0142,A+,O,A+,A,A,O,O,O,9.17
A0143,A+,A+,A+,A+,A+,A+,O,O,9.17
A0144,O,O,O,A+,O,O,O,O,9.88
A0145,B,A+,B+,C,A+,A,A+,O,7.63
A0146,F,A,F,F,C,B,A+,O,3.96
A0147,F,C,C,F,F,F,B+,F,2.04
A0148,P,A,C,P,A,A,O,O,6.67
A0149,O,A+,O,A+,A+,A,O,O,9.38
A0150,O,O,O,O,O,O,O,O,10
A0151,B,P,P,C,F,C,A,A,4.75
A0152,A,A,B+,B+,A+,B,O,O,7.92
A0153,P,B+,B,C,A,A,A+,A,6.58
A0154,A+,A,O,A,A,A+,O,O,8.96
A0155,O,A+,A+,A,A+,A+,O,O,9.21
A0157,O,A+,A+,A+,A+,A,O,O,9.21
A0158,F,C,F,F,F,C,A+,A,2.67
A0159,F,F,F,F,F,F,F,B+,0.58
