Roll_No,SS,WRE_II,FE,TE_I,PC,TRA_E,PAD,C&HM_LAB,ACS_LAB,OE,SGPA
A0101,B+,A,A+,A,B,B+,,A+,B+,C,7.30
A0102,F,A+,A,C,P,C,,O,A,,7.00
A0103,A+,O,O,O,A+,A+,,O,O,B+,9.30
A0104,O,O,O,O,O,A+,,O,A+,A,9.59
A0105,B,B+,B,B,B,C,,O,B+,F,6.00
A0106,B+,A+,A+,A,A,,A,O,A+,A,8.37
A0107,B,O,A+,A,B+,,A,O,A,B,7.93
A0108,A+,A+,O,A+,O,A,,O,A+,A,9.15
A0109,B+,B,B,B,P,B,,O,B+,P,5.96
A0110,O,O,O,O,O,,O,A+,A+,B,9.41
A0111,P,C,C,C,P,,B,O,A+,C,5.52
A0112,C,B+,A+,A,B,C,,O,A+,,7.21
A0113,O,O,O,O,O,,A+,O,O,B+,9.56
A0114,C,A+,A+,A,B+,A,,A+,O,B,7.78
A0115,A,A+,O,A+,A,,A,O,A+,A,8.74
A0116,C,B+,B+,B+,P,C,,O,A,,6.33
A0117,C,B+,C,B,P,C,,A+,B+,,5.71
A0118,C,B,B,C,P,,C,O,A+,F,6.00
A0119,A,O,O,O,A,A,,O,O,A,9.04
A0120,O,A+,A+,O,A+,,A+,O,A+,A,9.19
A0121,A,A+,O,O,O,,O,O,A,A,9.30
A0122,F,A,A,A,B,B,,A+,B+,,6.00
A0123,B,A+,O,O,A+,A,,O,A+,A,8.78
A0124,P,B+,A,A,A,B+,,A+,B+,,7.25
A0125,A,A,A+,A+,B+,B+,,O,B+,,8.08
A0126,C,C,C,A+,B,B+,,B+,A+,,6.42
A0127,B,A+,A+,O,O,A,,O,O,A,8.85
A0128,B+,A+,A+,A,A+,A,,O,O,B,8.37
A0129,F,B,F,B,C,C,,O,B+,,6.50
A0130,A+,A,B,A+,C,B,,O,B+,,7.25
A0131,A,O,O,A+,O,,A+,O,A+,B,9.04
A0132,P,B+,B+,A,P,B,,O,A,F,6.46
A0133,A,A+,A+,B,A,A,,O,A+,,6.20
A0134,P,C,A,F,B,C,,O,A,,6.40
A0135,O,O,O,A+,O,,A+,O,A,A+,9.52
A0136,B,B,A,A,B+,,A+,O,A+,P,7.30
A0137,O,O,O,O,O,,A+,O,A+,A+,9.70
A0138,F,B,C,P,C,C,,A+,A,,6.30
A0139,B,B+,B+,C,A,C,,O,A+,,6.96
A0140,B+,B,F,B,A,C,,A,A,,6.40
A0141,A,O,A,A+,A,,A,O,O,C,8.30
A0142,A,A,A+,B,A+,,A+,O,O,B,8.26
A0143,A,O,O,A+,O,,A+,O,O,A+,9.44
A0144,A+,O,O,A+,O,,A+,O,O,A,9.44
A0145,F,B+,F,P,B+,C,,O,O,,6.40
A0146,F,C,C,P,P,P,,A+,A,,5.90
A0147,A+,A+,O,B+,A+,A,,O,O,C,8.52
A0148,O,O,O,A,A+,,A,O,O,C,8.85
A0149,O,O,O,A+,O,,A+,O,O,C,9.22
A0150,B+,C,B,A,A,,P,A+,A,,6.75
A0151,A+,O,O,O,A+,,A,O,O,C,8.96
A0152,B,A,A,A,C,A+,,O,O,B+,7.63
A0153,A+,A+,O,A+,A+,,A,O,O,C,8.74
