Roll_No,EE,GIT,RRS,E_C,TE_II,EE_LAB,CES_Lab,OE_I,SGPA
A0101,A,A+,O,B,A,O,A+,A,8.5
A0102,B,B+,B,C,B+,A+,O,B+,6.88
A0103,O,O,A,A+,O,O,O,A+,9.42
A0104,O,O,O,A+,O,O,O,O,9.88
A0105,B+,A,A+,B,A,O,O,B+,8
A0106,A+,A+,O,A,A+,O,O,A,9.08
A0107,O,A+,O,A,A+,O,O,A,9.21
A0108,O,O,O,O,O,O,O,A+,9.88
A0109,B+,A,A,C,A,O,A+,A,7.75
A0110,O,O,O,O,O,O,O,O,10
A0111,C,B+,C,P,A,F,F,F,4
A0112,A+,A,A,B,A+,O,O,A,8.33
A0113,O,O,O,O,O,O,O,O,10
A0114,A+,A+,A+,B+,A+,O,O,A+,8.92
A0115,A,A+,O,B+,A+,O,O,B+,8.71
A0116,B,A+,B+,F,A,A+,A+,P,6.3
A0117,C,B+,C,F,B+,A+,A+,P,5.25
A0118,B,A,A,B,B,O,O,A,7.58
A0119,A+,O,O,B+,A+,O,O,A+,9.25
A0120,O,O,O,A+,O,O,O,A,9.63
A0121,A+,A+,O,A,O,O,O,A,9.21
A0122,A,A,B+,A,A+,O,A+,A,8.21
A0123,A,A+,A+,A,A+,O,O,A,8.79
A0124,A,A+,A,C,A+,A+,A,A,8
A0125,B+,A+,A+,C,A,O,O,C,7.79
A0126,B+,A,A,C,A,O,A+,B+,7.63
A0127,O,A+,O,B+,A+,O,O,A+,9.21
A0128,A,A,O,A,A+,O,O,O,9.04
A0129,F,B+,A,F,A,O,A+,C,5.71
A0130,A,A,A,C,A+,O,A+,B+,7.88
A0131,A+,A+,O,A+,O,O,O,A,9.33
A0132,C,A,A,P,B,A+,A,B,6.71
A0133,A,A+,O,B+,A,O,O,A+,8.83
A0134,C,B+,C,C,A,A+,A+,B,6.5
A0135,O,A+,O,O,O,O,O,A,9.58
A0136,C,A,B+,B,A+,O,A+,A,7.58
A0137,O,A+,O,O,O,O,O,O,9.83
A0138,C,B+,B,F,A,A+,A+,B+,6.17
A0139,A,A,B,B,A,O,O,B,7.5
A0140,B+,A,A+,C,A+,A+,A,A,7.88
A0141,A+,A+,A+,A+,O,O,O,A,9.17
A0142,A+,A+,O,A,A+,O,O,O,9.33
A0143,A+,A+,O,A,O,O,O,A+,9.33
A0144,A+,O,O,A+,A+,O,O,O,9.63
A0145,B,A,A,F,A,A+,O,B,6.75
A0146,F,C,F,F,F,A+,A,B+,3.13
A0147,O,A,O,B+,O,O,O,A,9.04
A0148,A+,A+,A,A,O,O,O,O,9.13
A0149,O,A+,A+,A+,O,O,O,O,9.54
A0150,A,A+,B+,B+,B+,O,A+,A,8
A0151,A+,A+,A,A+,A+,O,O,O,9.13
A0152,B+,A,O,B+,A,A+,A+,A+,8.38
A0153,O,A+,O,A,O,O,O,O,9.58
A0154,A,O,A,A,A,O,O,A+,8.79
A0155,A,A+,O,A+,O,O,O,A+,9.33
A0156,F,B+,A+,F,A,O,O,P,5.71
A0157,B+,A,O,B,B+,O,O,A,8.17
A0158,B,A+,B,C,B+,A+,A+,B+,7.13
A0159,A,B+,B+,B+,A,O,O,A,7.88
A0160,A,O,A+,A,O,O,A+,A+,9.13
A0161,B,A+,O,A,A,O,O,A+,8.71
A0162,A+,A+,A,A,A+,O,O,A+,8.88
A0163,A+,A+,A,A,O,O,A+,A+,8.92
A0164,O,O,O,O,O,O,O,O,10
A0165,B,B+,A,B,A,A+,A+,B+,7.38
A0166,C,A,A,C,A,A+,A+,A,7.42
A0167,B+,B+,A,B+,A,O,A+,A,7.83
A0168,A+,A+,A+,A,A+,O,O,A+,9.04
A0169,B,A+,A+,B+,A,O,A+,A,8.21
A0170,B,A,A,C,A,A+,A+,A,7.54
A0171,A,B+,A,P,B+,A+,A+,B+,7.25
A0172,A+,B+,B+,A,B+,O,O,A,8
A0173,A+,A+,A,A+,A+,O,O,A,8.88
A0174,O,A+,O,A,A+,O,A+,A,9.13
A0175,A+,A,A,A,A+,O,O,A+,8.71
A0176,A+,A+,O,A,A+,O,O,A+,9.21
A0177,O,O,O,A+,O,O,O,A+,9.75
A0178,A+,O,B+,B+,A+,O,O,A,8.63
A0179,A,A+,A,A,A+,O,A+,A,8.54
A0180,A+,A+,O,A,A+,O,A+,A,9
A0181,A+,A+,O,O,O,O,O,A+,9.58
A0182,A,A,A+,B+,A+,O,A+,B+,8.29
A0183,A+,A+,O,B,A+,O,A+,A+,8.88
A0184,A,A,A+,B,A+,O,O,A,8.38
A0185,A,O,A+,A+,O,O,A+,A,9.13
A0186,O,A+,A,A,A+,O,O,A+,9
A0187,B,A+,A,B+,A+,O,A+,A,8.17
A0188,A+,O,A,A+,A+,O,O,A+,9.17
A0189,P,C,B,F,C,A+,A+,B,5.08
A0190,B+,B,C,P,B+,A+,A+,C,6.21
A0191,B,A+,B,B,A,O,A+,B,7.33
A0192,A+,O,O,A,O,O,O,O,9.63
A0193,A+,A+,O,A,O,O,A+,O,9.38
A0194,O,O,O,A+,O,O,O,O,9.88
A0195,B+,A,A,F,A,O,A+,B+,7
A0196,A,A+,B,F,B,A+,A+,B+,6.25
A0197,C,A,A+,C,A+,O,A+,A+,7.92
A0198,B+,B+,B,F,A,A+,A+,B,6.29
A0199,A+,O,O,O,O,O,O,O,9.88
