Roll_No,SEM,IOMP,MP,CVV,NCES,EE,RE,SGPA,CGPA
A0101,A+,O,O,A+,,,,9.78,7.49
A0102,O,O,O,A+,A,B+,,9.29,0
A0103,O,O,O,O,,,,10,9.1
A0104,O,O,O,O,,,,10,9.55
A0105,O,O,O,A+,,,,9.89,0
A0106,O,O,O,O,,,,10,9.04
A0107,O,O,O,O,,,,10,9.01
A0108,O,O,O,O,,,,10,9.43
A0109,O,O,O,O,,,,10,7.66
A0110,O,O,O,O,,,,10,9.81
A0111,A+,A+,A+,A,,,,8.89,0
A0112,O,O,O,O,B+,,A,9.38,7.42
A0113,O,O,O,O,,,,10,9.73
A0114,O,O,O,O,,,,10,8.03
A0115,A+,A+,A+,A+,,,,9,8.19
A0116,A+,A,A,A+,B+,C,,7.67,0
A0117,A+,A+,A+,A+,B,,B+,8.38,0
A0118,O,O,O,O,,,,10,0
A0119,O,O,O,O,,,,10,8.65
A0120,O,O,O,O,,,,10,9.4
A0121,O,O,O,O,,,,10,9.51
A0122,O,A+,A+,O,B+,,A,8.79,0
A0123,O,O,O,O,,,,10,8.78
A0124,A+,A+,A+,A+,A,A,,8.75,0
A0125,A+,A,A,A+,A+,A,,8.29,7.1
A0126,O,A+,A+,O,B+,B,,8.54,0
A0127,O,O,O,O,,,,10,9.04
A0128,O,O,O,O,,,,10,9.01
A0129,A+,O,O,O,B,,C,8.79,0
A0130,A+,A+,A+,A+,A,B+,,8.63,0
A0131,O,O,O,O,,,,10,9.58
A0132,A+,A+,A+,A+,B,C,,8.13,0
A0133,O,O,O,O,,,,10,0
A0134,O,A+,A+,O,C,,C,8.17,0
A0135,O,O,O,O,,,,10,9.74
A0136,A+,A+,A+,A+,,,,9,7.48
A0137,O,O,O,O,,,,10,9.85
A0138,A+,O,O,A+,B+,B,,8.96,0
A0139,O,O,O,O,B+,B,,9.13,0
A0140,A+,A,A,A+,B+,B+,,7.92,0
A0141,O,O,O,O,,,,10,8.94
A0142,O,O,O,O,,,,10,9.09
A0143,O,O,O,O,,,,10,9.51
A0144,O,O,O,O,,,,10,8.49
A0145,O,O,O,O,B,B+,,9.13,0
A0146,A+,B+,B+,A,F,F,,8.5,0
A0147,O,O,O,O,,,,10,8.17
A0148,O,O,O,O,,,,10,9.25
A0149,O,O,O,O,,,,10,9.62
A0150,O,O,O,O,A,B+,,9.38,7.26
A0151,O,O,O,O,,,,10,8.87
A0152,O,O,O,O,,,,10,7.31
A0153,O,O,O,O,,,,10,9.15
A0154,O,O,O,O,,,,10,8.87
A0155,O,O,O,O,,,,10,9.23
A0156,O,O,O,O,F,,B,0,0
A0157,O,O,O,O,,,,10,0
A0158,O,O,O,A+,F,B,,0,0
A0159,O,O,O,O,,B,,9.43,7.42
A0160,O,O,O,O,,,,10,8.89
A0161,O,O,O,O,,,,10,8.26
A0162,O,O,O,O,,,,10,9.01
A0163,O,O,O,O,,,,10,8.1
A0164,O,O,O,O,,,,10,9.68
A0165,A+,O,O,A+,B,C,,8.71,0
A0166,A+,O,O,A+,B+,C,,8.83,6.84
A0167,A+,O,O,A+,C,B+,,8.83,6.77
A0168,O,O,O,O,,,,10,8.94
A0169,O,O,O,O,,,,10,7.76
A0170,A+,O,O,A+,F,C,,0,0
A0171,A+,O,O,A+,F,P,,0,0
A0172,O,O,O,O,,,,10,7.95
A0173,O,O,O,O,,,,10,9.07
A0174,A+,O,O,A+,,,,9.78,8.53
A0175,O,O,O,O,,,,10,8.22
A0176,O,O,O,O,,,,10,8.74
A0177,O,O,O,O,,,,10,9.58
A0178,O,O,O,O,,,,10,8.49
A0179,A+,O,O,A+,,,,9.78,8.14
A0180,O,O,O,O,,,,10,8.43
A0181,O,O,O,O,,,,10,9.32
A0182,A+,O,O,O,,,,9.89,8.27
A0183,A+,O,O,O,,,,9.89,8.43
A0184,O,O,O,O,,,,10,8.61
A0185,A+,O,O,A+,,,,9.78,8.2
A0186,O,O,O,O,,,,10,9.09
A0187,A+,O,O,A+,,F,,0,0
A0188,O,O,O,O,,,,10,8.25
A0189,A+,O,A+,A+,F,P,,0,0
A0190,A+,O,O,A+,F,B,,0,0
A0191,A+,O,O,A+,F,C,,0,0
A0192,O,O,O,O,,,,10,7.62
A0193,O,O,O,O,,,,10,9.54
A0194,O,O,O,O,,,,10,8.55
A0195,O,O,O,O,,,,10,9.23
A0196,A+,O,O,A+,,,,9.78,0
A0197,A+,O,O,A+,F,B,,0,0
A0198,A+,O,O,A+,,,,9.78,8.1
A0199,A+,O,O,A+,F,B,,0,0
A0200,O,O,O,O,,,,10,9.3
A0201,O,O,O,O,,,,10,9.63
A0202,O,O,O,O,,,,10,9.94
A0203,O,O,O,O,,,,10,9.3
A0204,A+,O,O,O,F,C,,0,0
A0205,O,O,O,O,,,,10,7.92
A0206,O,O,O,A+,A,B,,9.17,0
A0207,O,O,O,O,A,C,,9.13,7.52
A0208,O,O,O,O,,,,10,7.53
A0209,A+,O,O,A+,A,B+,,9.21,6.81
A0210,A+,O,O,O,B+,B+,,9.17,7.01
A0211,A+,O,O,A+,F,F,,0,0
A0212,O,O,O,O,,F,,0,0
A0213,O,O,O,O,,,,10,7.86
B0101,O,A+,A+,O,,,,9.22,7.82
B0102,O,O,O,O,,,,10,9.33
B0103,O,A+,A+,O,,,,9.22,8.19
B0104,O,O,O,O,,,,10,8.77
B0105,O,O,O,O,,,,10,9.4
B0106,O,O,O,O,,B+,,9.57,0
B0107,O,O,O,O,,,,10,9.35
B0108,O,O,O,O,,,,10,9.25
B0109,O,O,O,O,,,,10,9.26
B0110,O,O,O,O,,,,10,8.23
B0111,O,O,O,O,,,,10,9.4
B0112,O,O,O,O,,,,10,7.67
B0113,O,O,O,O,,,,10,9.57
B0114,O,O,O,O,,,,10,9.24
B0115,O,O,O,O,,,,10,9.53
B0116,O,O,O,O,,,,10,9.68
B0117,O,O,O,O,,,,10,8.11
B0118,A+,A+,A+,O,,,,9.11,8.04
B0119,O,O,O,O,,,,10,9.27
B0120,O,O,O,O,,,,10,8.58
B0121,O,O,O,O,,,,10,9.34
B0122,O,O,O,O,,,,10,8.96
B0123,O,O,O,O,,,,10,9.51
B0124,O,O,O,O,,,,10,9.58
